2.11 - Emisiones de gases de efecto invernadero(a),,,,,,,,2.11 - Emisiones de gases de efecto invernadero,,,,,,,,,2.11 - Emisiones de gases de efecto invernadero ,,,,,,,,,2.11 - Emisiones de gases de efecto invernadero.,,,,,,,
         ,,,,,,,,          ,,,,,,,,,          ,,,,,,,,,,,,,,,,
,,,,,,Gigagramo,,,,,,,,,Gigagramo,,,,,,,,,Gigagramo,,          ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gigagramo
,,,,,,,,,,,,,,,,,,,,,,,,,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2
AÑOS,CO2,CH4,N2O,SF6,HFC,PFC,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2010 (a),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones Brutas,"31.338,21","452,58","10,36",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones Netas,"12.624,57","452,58","10,36",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Energía,"28.023,26","100,45","0,52",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Procesos industriales y uso de productos,"1.324,42",-,-,…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
"      Agricultura, silvicultura y otros usos de la tierra","-16.723,11","244,84","9,26",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Desechos,-,"107,29","0,58",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones Brutas,"29.415,52","442,94","11,19",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones Netas,"7.951,40","442,94","11,19",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Energía,"27.389,93","87,10","0,56",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Procesos industriales y uso de productos,"1.035,28",-,-,…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
"      Agricultura, silvicultura y otros usos de la tierra","-20.473,81","245,61","10,04",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Desechos,-,"110,23","0,59",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Según Guías revisadas del IPCC 1996 y Guías del IPCC  2006 para el Inventario Nacional de Gases de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efecto Invernadero y estimaciones del Equipo técnico de gases de Efecto Invernadero del INSMET.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: Instituto de Meteorología, Ministerio de Ciencia, Tecnología y Medio Ambiente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
