8.12 -  Importaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio  Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección ,Capítulo,CONCEPTO, UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las importaciones (a),MP,4.181.192,4.349.090,4.795.613,4.793.235,4.140.767,4.612.598,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120,,,,,,
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,17.263,9.931,8.165,9.240,6.702,3.514,2.443,1.125,1.078,1.702,12.139,3.637,805,2.169,2.910,1.760,880,1.017,1.418,156,552,487,128,1.259,870,,,,,,
,87,"     Instrumentos y aparatos profesionales,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"      científicos y de control, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,47.364,56.509,54.838,69.431,60.787,71.645,113.067,204.895,293.182,261.733,197.443,153.660,104.932,145.583,145.154,162.288,202.956,239.391,246.320,168.397,156.035,113.941,75.686,93.280,82.841,,,,,,
,,      Otros instrumentos y aparatos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,2.402,2.697,5.600,2.812,7.922,9.678,3.569,12.435,13.604,11.482,9.381,9.322,19.485,2.799,2.998,10.664,26.292,7.818,91.656,5.542,2.147,27.833,2.364,2.224,4.475,,,,,,
,,         Valor,MP,3.055,4.408,3.991,5.370,7.879,12.425,18.103,31.970,37.198,53.516,21.133,20.791,13.338,11.669,15.516,19.635,32.955,48.734,34.154,30.164,27.000,8.955,6.399,6.786,14.819,,,,,,
,,"       Partes, piezas y accesorios de máquinas, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        dispositivos, instrumentos y aparatos, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,4.643,5.425,3.893,5.213,4.217,2.489,5.575,20.033,10.514,12.767,12.846,8.744,7.960,9.102,5.159,8.753,21.424,37.498,44.268,16.979,6.929,1.675,683,501,876,,,,,,
,88,"     Aparatos, equipo y materiales fotográficos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       y artículos de óptica, n.e.p., relojes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,21.577,17.987,21.622,22.162,19.807,24.440,33.983,39.873,24.196,29.136,29.063,18.801,17.328,21.465,14.784,20.588,17.264,20.088,19.142,19.267,15.173,11.094,6.318,2.669,4.885,,,,,,
,89,"     Artículos manufacturados diversos, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,104.823,115.667,126.540,144.573,134.400,157.705,190.698,201.056,212.298,225.420,282.676,201.811,190.512,246.382,221.579,241.771,237.657,271.710,267.590,239.584,228.661,184.186,136.920,137.242,155.558,,,,,,
,,"      Otros libros, folletos e impresos similares,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       excepto en hojas sueltas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,5.642,10.133,3.460,10.504,4.693,5.052,4.568,16.256,6.164,4.003,3.064,2.414,13.771,3.127,3.388,6.140,6.541,7.843,7.785,13.850,11.030,7.413,4.673,1.633,1.611,,,,,,
,,         Valor,MP,3.767,6.248,4.033,7.360,4.114,3.934,3.858,3.752,3.948,3.144,3.603,3.588,2.732,4.705,3.775,4.936,5.362,8.412,7.043,6.162,5.558,4.595,3.468,1.722,1.374,,,,,,
,,      Artículos para el transporte o envasado de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       mercancías, de materiales plásticos; tapones,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       tapas y otros cierres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,535.918,745.185,895.762,721.888,902.822,1.025.152,1.153.004,1.547.920,1.334.719,1.223.072,1.632.365,1.501.435,1.837.021,1.368.032,1.102.754,1.020.736,900.279,1.486.528,1.228.704,963.293,1.016.005,558.684,598.697,536.256,469.842,,,,,,
,,         Valor,MP,25.369,28.565,33.917,36.341,34.168,41.403,50.140,55.600,59.702,62.134,81.116,66.261,66.089,83.483,74.928,80.072,66.047,80.267,72.090,61.250,61.576,51.513,49.624,55.424,40.696,,,,,,
,,"      Servicio de mesa, utensilios de cocina, otros ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       artículos de uso doméstico y de tocador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,74.156,159.344,122.224,242.429,155.411,196.817,214.064,282.206,583.356,169.508,314.309,211.023,153.709,164.006,82.958,154.210,152.957,99.833,66.875,96.017,133.391,131.634,10.447,16.444,20.841,,,,,,
,,         Valor,MP,7.018,7.676,8.538,9.588,9.569,10.759,11.919,16.772,15.588,11.843,20.125,12.710,10.160,13.327,11.694,11.032,12.388,12.105,14.949,13.681,14.139,8.455,4.834,4.531,7.365,,,,,,
,,      Otros artículos de materiales plásticos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,81.350,117.850,74.864,46.155,37.695,38.282,50.505,48.282,64.189,55.538,93.864,93.714,80.811,53.530,94.184,116.489,72.106,96.153,101.837,109.117,161.245,135.705,52.734,40.106,42.739,,,,,,
,,         Valor,MP,7.929,10.409,10.058,11.198,10.178,12.536,10.856,12.781,12.419,11.390,19.392,14.436,13.215,19.745,18.645,21.411,17.176,26.000,22.053,18.380,19.115,17.687,16.549,13.057,18.040,,,,,,
9,,Mercaderías y operaciones no clasificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,  en otro rubro de la CUCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,290,136,875,1.734,2.148,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (a) A partir del año 2002 se incluye donaciones.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (b) A partir del año 2008 se expresa en miles de unidades.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (c) A partir del año 2008 se expresa en toneladas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
