8.12 -  Importaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio  Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección ,Capítulo,CONCEPTO, UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las importaciones (a),MP,4.181.192,4.349.090,4.795.613,4.793.235,4.140.767,4.612.598,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120,,,,,,
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,10.155,9.140,9.034,8.540,10.957,13.985,14.770,13.222,11.856,14.829,17.501,15.867,10.289,9.537,7.873,4.559,5.454,7.592,8.086,8.982,8.256,11.384,6.379,10.958,10.147,,,,,,
,,       Legumbres secas o peladas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,155.146,219.186,119.754,208.860,113.955,213.613,217.340,213.532,209.281,236.106,246.179,113.627,71.414,114.524,74.220,105.516,116.485,77.926,103.743,128.298,96.298,107.342,120.852,124.937,113.099,,,,,,
,,         Valor,MP,42.517,64.809,45.186,52.757,42.430,83.309,83.347,84.943,81.001,109.376,148.191,86.023,40.411,69.011,50.034,77.670,76.835,40.165,62.654,71.985,62.775,58.708,84.889,109.370,98.961,,,,,,
,,       Cebolla fresca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,1.524,1.064,1.212,1.131,1.698,1.451,1.976,1.176,1.538,1.983,2.039,922,695,384,452,394,391,329,478,426,257,228,127,45,47,,,,,,
,,         Valor,MP,1.167,788,913,713,1.185,837,1.303,712,900,1.406,1.401,644,523,309,351,318,319,251,375,335,210,484,279,79,135,,,,,,
,06,"    Azúcares, preparado de azúcar y miel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,5.310,5.956,6.842,18.707,25.880,53.682,22.278,48.934,106.777,96.226,58.917,10.974,13.037,16.469,14.896,16.339,13.175,17.772,16.147,14.758,46.086,13.363,4.614,9.159,52.163,,,,,,
,07,"    Café, té, cacao, especias y sus preparados",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,16.294,18.016,14.700,10.873,11.370,15.184,14.202,58.550,27.310,48.854,62.586,47.530,57.027,49.773,54.380,57.858,58.139,42.781,59.374,53.227,63.000,42.234,27.760,33.496,47.198,,,,,,
,,"     Café sin tostar, no  descafeinado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,-,-,-,-,-,-,4.391,24.631,9.021,17.525,32.963,16.962,17.884,9.334,8.250,10.078,11.624,6.189,11.027,7.199,10.859,7.019,4.772,5.722,4.985,,,,,,
,,         Valor,MP,-,-,-,-,-,-,4.129,33.037,16.266,36.168,48.379,35.112,38.043,26.814,28.485,30.261,32.567,18.561,31.200,21.705,31.693,17.896,11.916,14.342,23.600,,,,,,
,08,    Pienso para animales (excepto cereales sin moler),,,,,,,,,,,,79.602,,,,,,,,,,,,,,,,,,,,
