8.5 - Exportaciones según país del último destino de las  mercancías  por países seleccionados y áreas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        geográficas,,,,,,,,,,,,,,,,,,,                                          ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,Miles de pesos,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAÍSES SELECCIONADOS,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total,5.991.477,5.321.489,5.402.060,5.512.441,5.399.884,5.414.949,2.979.512,1.779.424,1.156.663,1.330.756,1.491.634,1.865.526,1.819.127,1.512.197,1.495.783,1.675.259,1.621.891,1.421.670,1.688.017,2.332.118,2.159.443,2.924.558,3.685.665,3.664.157,2.863.004,4.549.533,5.870.090,5.577.268,5.283.142,4.857.468,3.349.640,2.316.934,2.401.688,2.372.779,2.062.469,1.702.812,1.966.040,2.170.009
  Ghana,16,4.754,3.329,4.191,5.248,5.635,11.226,7.486,3.462,300,90,55,16,-,-,-,153,-,38,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Libia,14.415,9.102,8.974,2.032,9.217,42.034,26.399,8.381,-,1,760,                 -,                 -,991,-,-,-,-,60,-,-,-,-,-,-,4.719,122,-,-,-,-,-,-,-,-,-,-,-
  Marruecos,-,-,-,-,-,-,-,4.418,20.998,53.365,22.755,41.214,22.785,11.245,4.865,-,-,-,286,1.206,2.509,2.123,2.356,2.260,5.653,15.637,12.477,5.011,13.868,3.006,1.542,16.299,2.053,653,1.135,1.252,687,-
  Mozambique,15,4,32,44,-,-,-,-,-,-,-,-,-,-,3,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Nigeria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.581,173.465,62.783,20.386,100.934,111.745, -,3,78,8,125,803,254,51,17,131
  República Árabe de Egipto,22.065,24.048,11.906,5.120,10.580,69.996,28.764,20.216,5.339,68.979,45.320,22.869,111.735,6,999,2.095,1.360,-,3.725,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Sudáfrica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.796,3.698,2.198,2.408,3.553,2.681,2.840,2.995,4.071,4.006,2.076,1.924,2.297,1.862,1.810,14.087,1.571,1.312
  Túnez,5.475,4.850,4.025,1.574,11.922,10.501,12.212,10.086,9.825,6.578,10.071,15.306,6.855,14.943,11.763,7.412,12.858,10.534,5.991,1.822,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Otros,1.386,4.234,10.202,8.753,14.094,3.600,326,1,5.866,4.156,61,176,5,91,76,2.427,185,6.047,544,1.624,12.532,1.162,44.851,101.019,109.462,29.553,170.578,1.601,49.081,154.135,25.029,964,1.106,2.201,2.363,3.408,5.190,3.453
 América,72.867,85.391,81.614,98.686,250.085,394.404,252.525,249.227,158.842,282.251,351.140,382.430,418.125,386.815,393.963,466.690,380.774,358.846,603.135,1.017.219,1.012.782,1.264.073,1.725.163,1.677.259,1.248.981,2.544.710,3.314.434,3.546.699,3.275.613,2.904.729,1.994.115,1.154.136,1.007.611,1.124.671,822.426,673.784,902.237,902.991
  Antigua y Barbuda,-,-,-,-,-,-,-,-,-,-,26,-,-,30,317,397,7,-,-,236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Antillas Holandesas,4.957,-,5,-,3,-,400,12,4,157,1.895,2.874,4.142,3.317,3.219,2.299,1.829,2.151,3.434,2.293,3.931,4.316,4.543,64.696,59.027,3.106,28.980,60.271,108.129,76.026,11.925,6.497,1.810,370,1.989,219,218,504
  Argentina,367,1.224,1.242,1.694,1.857,245,197,1.846,2.069,30.734,3.279,5.259,3.859,5.117,2.874,3.763,2.630,658,858,1.393,2.542,5.137,4.371,14.716,24.643,17.702,18.541,14.391,16.587,21.650,19.564,7.705,5.968,2.930,3.360,4.603,3.355,4.655
  Bahamas,8,-,-,-,-,-,100,-,3,193,736,558,368,863,9.584,16.671,2.745,1.383,4.777,2.924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Bermudas,-,-,4.848,-,-,-,-,-,120,-,240,120,-,8,-,167,470,759,994,1.248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Bolivia,11,10,49,81,86,312,400,431,479,1.142,2.440,1.606,868,1.865,911,713,690,507,342,229,779,59.304,10.069,17.773,6.744,2.142,13.130,2.350,1.162,3.361,977,1.918,1.420,3.101,2.450,1.017,1.472,1.976
  Brasil,10,28,206,2.198,83.960,126.825,28.300,17.295,8.764,37.681,29.552,29.569,19.264,6.328,7.557,21.261,8.095,6.962,20.255,46.772,39.718,24.756,64.293,41.679,63.089,57.843,82.069,108.053,80.635,63.462,49.117,65.275,23.204,24.744,7.559,2.969,2.289,2.542
  Canadá,32.185,37.215,36.848,38.567,54.721,103.708,140.019,194.775,110.264,146.373,230.777,249.487,249.865,230.169,229.185,277.945,228.258,203.202,266.766,486.794,437.941,545.381,962.966,756.622,431.467,604.024,718.645,551.042,462.340,524.877,360.765,328.852,466.820,529.384,456.150,460.093,614.536,734.202
  Chile,5,8,10,15,23,47,87,229,161,255,245,1.681,1.791,1.175,2.526,1.868,2.056,1.031,967,943,1.998,1.668,3.376,9.846,4.173,6.825,7.447,7.705,5.761,6.290,3.351,4.074,3.224,4.176,4.975,2.861,3.810,3.394
